																								
																								
User: USER																								
Path: C:\Program Files\BMG\Omega\User\Data\																								
Test ID: 9808																								
Test Name: Paula_resazurina																								
Date: 2021-12-14																								
Time: 10:52:59																								
Fluorescence (FI)																								
																								
																								
																								
	Raw Data (EX 544/590)																							
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A	92558	493	108685	384	79288	393	99217	356	87321	319	69273	574	206045	556	205245	524	230812	332	269	238	247	239	251	261
B	498	250	581	253	432	237	432	253	271	242	412	243	356	249	382	238	350	243	242	238	241	253	247	251
C	126725	541	157659	493	133714	424	109539	299	502	348	131105	299	8138	250	7672	241	7788	241	246	233	241	244	242	244
D	286	247	305	246	281	255	428	246	455	246	485	230	239	244	241	223	243	240	241	232	235	240	239	247
E	2595	245	4432	244	5589	434	121480	452	204041	439	177730	302	247	244	245	230	227	243	239	235	235	238	244	239
F	246	235	244	233	268	249	422	268	466	256	408	229	244	237	226	236	235	230	238	228	224	244	240	245
G	4115	244	4877	241	5532	438	128717	470	118765	348	121188	271	237	234	239	240	227	237	236	232	230	239	247	239
H	291	237	295	234	296	237	402	248	407	243	412	239	233	239	240	220	238	234	227	233	254	238	237	230
I	55832	358	54153	403	72368	429	108568	445	145558	457	193807	299	219	226	235	237	240	236	233	226	235	233	229	240
J	371	241	401	237	444	238	445	245	405	246	421	234	240	240	230	221	232	243	237	226	228	236	233	244
K	85557	630	128326	603	158179	660	192511	446	140497	437	136164	275	244	238	236	229	223	235	239	237	234	235	236	231
L	340	239	288	242	367	245	472	240	478	243	471	240	239	234	233	222	233	232	241	235	225	244	239	238
M	52163	253	276	294	40948	522	185481	556	209479	501	224928	295	243	233	230	218	227	237	245	231	228	244	254	245
N	289	239	286	242	323	245	503	249	568	257	589	249	226	235	235	236	232	239	238	230	212	242	242	238
O	46306	350	34208	365	56382	557	132811	651	222901	567	177563	293	251	244	237	240	232	242	239	233	238	238	237	245
P	250	238	251	235	267	235	294	237	339	260	335	245	239	240	231	233	236	240	236	235	232	237	249	241
